iter	RMSE
0	2460959736
1	2408276101
2	2360021778
3	2319356914
4	2277222688
5	2237510154
6	2203759157
7	2171257020
8	2141939443
9	2113882305
10	2088401693
11	2062824385
12	2039707651
13	2021417068
14	2003989676
15	1986638883
16	1971172782
17	1955884351
18	1942682488
19	1929700618
20	1918937898
21	1909448463
22	1899475334
23	1889238110
24	1880192984
25	1871655358
26	1864318220
27	1856959579
28	1849598207
29	1844755413
30	1839229422
31	1834975626
32	1829628919
33	1824529557
34	1819831647
35	1816018498
36	1811865219
37	1808945999
38	1805261973
39	1802263738
40	1799558653
41	1796971708
42	1794095181
43	1791770094
44	1790146585
45	1788354344
46	1785788780
47	1784476800
48	1782212315
49	1780590278
50	1778198627
51	1776464338
52	1774761242
53	1772780195
54	1770851395
55	1769207558
56	1768116511
57	1766600524
58	1764990395
59	1763729605
60	1762291331
61	1761294581
62	1760508273
63	1759243903
64	1757993208
65	1756486699
66	1756117713
67	1754892278
68	1754454886
69	1753734574
70	1752976889
71	1752047179
72	1750691830
73	1749491170
74	1748384629
75	1747919721
76	1746892241
77	1746267942
78	1745073474
79	1744641536
80	1743920348
81	1743150992
82	1742063674
83	1741505024
84	1740910092
85	1740478855
86	1740007677
87	1739467552
88	1738783233
89	1738021380
90	1737347652
91	1736887028
92	1736035009
93	1735461190
94	1735063711
95	1734502010
96	1734063465
97	1733585680
98	1732422462
99	1732138224
100	1731200181
101	1730619463
102	1730301441
103	1730016599
104	1729608431
105	1728939498
106	1728416367
107	1728077599
108	1727617598
109	1727229232
110	1726548634
111	1726256656
112	1725749146
113	1725489617
114	1724715146
115	1723977325
116	1723516259
117	1722932958
118	1722212120
119	1721614520
120	1721340194
121	1720843206
122	1720260751
123	1719909450
124	1719619225
125	1719130772
126	1718780233
127	1718365812
128	1718017523
129	1717630899
130	1717116347
131	1716872009
132	1716667288
133	1716160866
134	1715551698
135	1714754755
136	1714202372
137	1713838394
138	1713711704
139	1713331207
140	1712808581
141	1712672761
142	1712159243
143	1711554922
144	1711144653
145	1710821266
146	1710141033
147	1709728654
148	1709445449
149	1709139099
150	1708645484
151	1708515198
152	1707730743
153	1706606708
154	1706385573
155	1705997621
156	1705598161
157	1704822300
158	1704317634
159	1703999873
160	1703741733
161	1703232942
162	1702726010
163	1702397734
164	1702173198
165	1701845008
166	1701514152
167	1700661800
168	1700241915
169	1699936820
170	1699317309
171	1699149391
172	1698254157
173	1697895810
174	1697331450
175	1696951158
176	1696348726
177	1696192329
178	1695623726
179	1695412534
180	1695188359
181	1694430911
182	1693964265
183	1693351624
184	1693166226
185	1692782461
186	1692361665
187	1691991968
188	1691499919
189	1691092149
190	1690965714
191	1690823976
192	1690691780
193	1690496737
194	1690062678
195	1689649996
196	1689347210
197	1689212721
198	1688499134
199	1687895471
200	1687712313
201	1687567988
202	1687394757
203	1687103621
204	1686613017
205	1686400976
206	1686075882
207	1685922683
208	1685518142
209	1685353245
210	1685213305
211	1684935918
212	1684511827
213	1684098030
214	1683977942
215	1683555476
216	1683408092
217	1683153662
218	1683010801
219	1682756122
220	1682281930
221	1682001912
222	1681868729
223	1681730839
224	1681559613
225	1681285843
226	1680574975
227	1680452731
228	1680041316
229	1679723902
230	1679408060
231	1679297934
232	1679071694
233	1678949424
234	1678675149
235	1678562904
236	1678448530
237	1678345039
238	1678029068
239	1677813000
240	1677705894
241	1677591725
242	1677477276
243	1677376862
244	1677113343
245	1676383581
246	1676116077
247	1675456929
248	1675175990
249	1674808293
250	1674709011
251	1674350100
252	1674255312
253	1674162982
254	1674072742
255	1673619568
256	1673531319
257	1673425496
258	1673334334
259	1672809820
260	1672680836
261	1672357271
262	1672271869
263	1672191268
264	1671694517
265	1671213431
266	1670738891
267	1670243726
268	1670167062
269	1670033930
270	1669884278
271	1669806103
272	1669607632
273	1669183053
274	1669115113
275	1668902627
276	1668402043
277	1668173932
278	1667850295
279	1667486393
280	1667302359
281	1666962932
282	1666890262
283	1666650500
284	1666254117
285	1666182941
286	1666023386
287	1665954924
288	1665363614
289	1665225303
290	1664921414
291	1664594953
292	1664346505
293	1663987643
294	1663922325
295	1663762859
296	1663297975
297	1663008774
298	1662941613
299	1662853638
300	1662792076
301	1662680442
302	1662620813
303	1662208980
304	1662002339
305	1661738302
306	1661280317
307	1661122725
308	1660761773
309	1660337557
310	1659961471
311	1659613013
312	1659488907
313	1658981476
314	1658773693
315	1658613131
316	1658143454
317	1657633689
318	1657487586
319	1657152341
320	1657005930
321	1656703494
322	1656336098
323	1656279107
324	1655948765
325	1655534369
326	1655475099
327	1655253943
328	1655092370
329	1655034608
330	1654699974
331	1654542106
332	1654120459
333	1653968459
334	1653689032
335	1653634049
336	1653486959
337	1653433150
338	1653304073
339	1652891545
340	1652835878
341	1652781207
342	1652730219
343	1652506657
344	1652270651
345	1651897326
346	1651644670
347	1651274663
348	1651221423
349	1651074630
350	1650754113
351	1650592725
352	1650280486
353	1650228765
354	1650152609
355	1649705121
356	1649382576
357	1649332605
358	1648473176
359	1648207687
360	1648059097
361	1647882326
362	1647833071
363	1647694401
364	1647547404
365	1647505734
366	1647378006
367	1647328019
368	1646949152
369	1646827501
370	1646541133
371	1646496806
372	1646450140
373	1646219122
374	1645964551
375	1645921460
376	1645811106
377	1645422319
378	1645089183
379	1644814702
380	1644635609
381	1644593351
382	1644273700
383	1644232080
384	1644091021
385	1644016655
386	1643744261
387	1643637830
388	1643517732
389	1642806638
390	1642518721
391	1642292931
392	1642191715
393	1641994084
394	1641915659
395	1641869273
396	1641825611
397	1641621014
398	1641568461
399	1641356159
400	1640616489
401	1640447096
402	1640142504
403	1640095393
404	1639751721
405	1639668814
406	1639340784
407	1639167851
408	1638899163
409	1638857793
410	1638817356
411	1638779185
412	1638624259
413	1638454484
414	1638407250
415	1638322104
416	1638261372
417	1638219161
418	1638067100
419	1637937871
420	1637899123
421	1637276166
422	1636920584
423	1636795596
424	1636614249
425	1636558136
426	1636350377
427	1636062350
428	1635919366
429	1635667254
430	1635391451
431	1635100091
432	1634969966
433	1634423937
434	1634284027
435	1634192709
436	1633949005
437	1633817097
438	1633773944
439	1633642434
440	1633590415
441	1633405277
442	1633286311
443	1633250441
444	1633153348
445	1632796685
446	1632569531
447	1632534677
448	1632291326
449	1632250734
450	1632184832
451	1632145516
452	1631787855
453	1631589469
454	1631315496
455	1631185733
456	1630915591
457	1630809762
458	1630772010
459	1630682219
460	1630622917
461	1630588797
462	1630555863
463	1630443375
464	1629950319
465	1629657787
466	1629567836
467	1629392839
468	1629205081
469	1629164584
470	1629130560
471	1628862851
472	1628756329
473	1628702224
474	1628471309
475	1628398063
476	1628168440
477	1627920137
478	1627885966
479	1627686516
480	1627519370
481	1627306791
482	1627272139
483	1627128535
484	1627096897
485	1626750981
486	1626415530
487	1626141444
488	1626108308
489	1625892660
490	1625860717
491	1625627482
492	1625532290
493	1625347616
494	1625274423
495	1625064708
496	1624860950
497	1624572240
498	1624454120
499	1624255991
500	1624025244
501	1623995355
502	1623762167
503	1623556781
504	1623494576
505	1623333109
506	1623048879
507	1622942916
508	1622581520
509	1622483456
510	1622458867
511	1622428205
512	1622181033
513	1621975833
514	1621928940
515	1621828739
516	1621583256
517	1621440094
518	1620916272
519	1620816355
520	1620610686
521	1620584251
522	1620307892
523	1620214196
524	1620185345
525	1619926750
526	1619871407
527	1619647111
528	1619620591
529	1619545948
530	1619459714
531	1619253941
532	1619211511
533	1619184444
534	1619000782
535	1618744718
536	1618609586
537	1618388280
538	1618287027
539	1617990345
540	1617971510
541	1617768689
542	1617520618
543	1617494356
544	1617333302
545	1617306665
546	1617228022
547	1617054110
548	1616771370
549	1616737999
550	1616359106
551	1616316053
552	1616298100
553	1616044669
554	1615812507
555	1615628501
556	1615570716
557	1615391405
558	1615368927
559	1615280375
560	1615257720
561	1615168986
562	1615137468
563	1615004314
564	1614913572
565	1614834172
566	1614771717
567	1614580950
568	1614400535
569	1614217871
570	1614133711
571	1614016566
572	1613887372
573	1613730858
574	1613707127
575	1613604000
576	1613517485
577	1613227573
578	1613138866
579	1612986653
580	1612838824
581	1612685011
582	1612523025
583	1612479429
584	1612392729
585	1612237264
586	1612217411
587	1612122756
588	1612096532
589	1611964355
590	1611720740
591	1611599028
592	1611526770
593	1611356421
594	1611265852
595	1611072677
596	1610906216
597	1610874716
598	1610793097
599	1610651462
