iter	Passed	Remaining
0	169	101760
1	171	51420
2	174	34802
3	176	26295
4	177	21159
5	179	17730
6	180	15282
7	181	13443
8	182	12012
9	184	10867
10	185	9930
11	186	9150
12	187	8487
13	189	7919
14	190	7427
15	191	6997
16	192	6616
17	194	6277
18	195	5974
19	196	5701
20	197	5454
21	199	5231
22	200	5027
23	201	4839
24	202	4666
25	204	4506
26	205	4358
27	206	4220
28	207	4091
29	209	3971
30	210	3859
31	211	3753
32	212	3654
33	213	3560
34	215	3473
35	216	3389
36	217	3311
37	218	3236
38	220	3165
39	221	3097
40	222	3032
41	223	2970
42	224	2912
43	226	2855
44	227	2801
45	228	2749
46	229	2701
47	230	2654
48	231	2608
49	233	2565
50	234	2523
51	235	2483
52	236	2445
53	238	2408
54	239	2372
55	240	2337
56	241	2303
57	243	2271
58	244	2240
59	245	2209
60	246	2180
61	248	2152
62	249	2124
63	250	2097
64	251	2071
65	252	2046
66	253	2016
67	254	1993
68	255	1966
69	256	1943
70	257	1921
71	259	1900
72	260	1879
73	261	1858
74	262	1838
75	263	1819
76	265	1800
77	266	1781
78	267	1763
79	268	1745
80	269	1728
81	271	1712
82	272	1695
83	273	1679
84	274	1664
85	275	1649
86	277	1634
87	278	1619
88	279	1605
89	280	1591
90	282	1577
91	283	1564
92	284	1551
93	285	1537
94	286	1524
95	288	1512
96	289	1499
97	290	1487
98	291	1475
99	292	1461
100	293	1450
101	294	1438
102	295	1424
103	296	1413
104	297	1403
105	298	1393
106	300	1382
107	300	1370
108	301	1360
109	303	1350
110	304	1340
111	305	1331
112	306	1321
113	307	1311
114	308	1302
115	310	1293
116	311	1284
117	312	1275
118	313	1267
119	314	1258
120	315	1249
121	316	1240
122	317	1232
123	319	1224
124	320	1216
125	321	1208
126	322	1200
127	323	1193
128	324	1185
129	325	1177
130	326	1170
131	327	1162
132	329	1156
133	330	1149
134	331	1142
135	332	1135
136	334	1129
137	335	1122
138	336	1116
139	337	1110
140	339	1103
141	339	1095
142	340	1089
143	342	1083
144	343	1077
145	344	1070
146	345	1064
147	346	1058
148	347	1053
149	349	1047
150	350	1041
151	351	1034
152	352	1029
153	353	1023
154	354	1017
155	355	1012
156	356	1007
157	358	1001
158	359	996
159	360	991
160	361	985
161	362	980
162	364	975
163	365	970
164	366	965
165	367	960
166	368	955
167	369	951
168	371	946
169	372	941
170	373	937
171	374	932
172	375	927
173	377	923
174	378	918
175	379	914
176	380	910
177	381	905
178	383	901
179	384	896
180	385	892
181	386	888
182	387	883
183	389	879
184	390	875
185	391	871
186	392	867
187	393	863
188	395	858
189	396	855
190	397	850
191	398	846
192	399	842
193	400	838
194	402	835
195	403	831
196	404	827
197	405	823
198	406	819
199	408	816
200	409	812
201	410	808
202	411	804
203	412	801
204	413	797
205	415	793
206	416	790
207	417	786
208	418	783
209	419	779
210	420	776
211	422	772
212	423	769
213	424	765
214	425	762
215	426	758
216	428	755
217	429	752
218	430	748
219	431	745
220	432	742
221	434	739
222	435	735
223	436	732
224	437	729
225	438	726
226	440	723
227	441	720
228	442	716
229	443	713
230	444	710
231	445	707
232	447	704
233	448	701
234	449	697
235	450	694
236	451	691
237	452	688
238	454	685
239	455	682
240	456	679
241	457	676
242	458	673
243	459	671
244	461	668
245	462	665
246	463	662
247	464	659
248	465	656
249	467	653
250	468	651
251	469	648
252	470	645
253	471	642
254	472	639
255	474	637
256	475	634
257	476	631
258	477	628
259	478	626
260	479	623
261	481	620
262	482	617
263	483	615
264	484	612
265	485	609
266	486	607
267	488	604
268	489	601
269	490	599
270	491	596
271	492	593
272	493	591
273	494	588
274	495	586
275	497	583
276	498	581
277	499	578
278	500	576
279	501	573
280	503	571
281	504	568
282	505	566
283	506	563
284	507	561
285	508	558
286	510	556
287	511	553
288	512	551
289	513	549
290	514	546
291	516	544
292	517	542
293	518	539
294	519	537
295	520	534
296	521	532
297	523	530
298	524	527
299	525	525
300	526	523
301	527	520
302	528	518
303	530	516
304	531	513
305	532	511
306	533	509
307	534	506
308	535	504
309	537	502
310	538	500
311	539	498
312	540	495
313	541	493
314	543	491
315	544	489
316	545	486
317	546	484
318	547	482
319	548	480
320	550	478
321	551	475
322	552	473
323	553	471
324	554	469
325	555	467
326	557	465
327	558	462
328	559	460
329	560	458
330	561	456
331	562	454
332	564	452
333	565	450
334	566	448
335	567	445
336	568	443
337	569	441
338	571	439
339	572	437
340	573	435
341	574	433
342	575	431
343	577	429
344	578	427
345	579	425
346	580	423
347	582	421
348	583	419
349	584	417
350	585	415
351	586	413
352	587	411
353	589	409
354	590	407
355	591	405
356	593	403
357	594	401
358	595	399
359	596	397
360	597	395
361	598	393
362	600	391
363	601	389
364	602	387
365	603	385
366	604	383
367	605	381
368	606	379
369	608	378
370	609	376
371	610	374
372	611	372
373	612	370
374	613	368
375	614	366
376	616	364
377	617	362
378	619	360
379	620	359
380	621	357
381	622	355
382	623	353
383	625	351
384	626	349
385	627	347
386	628	345
387	629	344
388	630	342
389	632	340
390	633	338
391	634	336
392	635	334
393	637	333
394	638	331
395	639	329
396	640	327
397	641	325
398	642	323
399	644	322
400	645	320
401	646	318
402	647	316
403	648	314
404	650	313
405	651	311
406	652	309
407	653	307
408	654	305
409	656	304
410	657	302
411	658	300
412	659	298
413	660	296
414	661	295
415	663	293
416	664	291
417	665	289
418	666	287
419	667	286
420	668	284
421	669	282
422	671	280
423	672	279
424	673	277
425	674	275
426	675	273
427	676	272
428	678	270
429	679	268
430	680	266
431	681	265
432	683	263
433	684	261
434	685	260
435	686	258
436	687	256
437	689	254
438	690	253
439	691	251
440	692	249
441	693	247
442	694	246
443	695	244
444	697	242
445	698	241
446	699	239
447	700	237
448	701	235
449	702	234
450	703	232
451	704	230
452	706	229
453	707	227
454	708	225
455	709	224
456	710	222
457	711	220
458	713	219
459	714	217
460	715	215
461	716	214
462	717	212
463	718	210
464	719	208
465	721	207
466	722	205
467	723	204
468	724	202
469	725	200
470	727	199
471	728	197
472	729	195
473	730	194
474	731	192
475	733	190
476	734	189
477	735	187
478	736	186
479	738	184
480	739	182
481	740	181
482	741	179
483	742	178
484	743	176
485	745	174
486	746	173
487	747	171
488	748	169
489	749	168
490	751	166
491	752	165
492	753	163
493	754	161
494	755	160
495	757	158
496	758	157
497	759	155
498	760	153
499	761	152
500	763	150
501	764	149
502	765	147
503	766	146
504	767	144
505	768	142
506	769	141
507	771	139
508	772	138
509	773	136
510	774	134
511	775	133
512	777	131
513	778	130
514	779	128
515	780	127
516	781	125
517	782	123
518	784	122
519	785	120
520	786	119
521	787	117
522	788	116
523	789	114
524	791	113
525	792	111
526	793	109
527	794	108
528	795	106
529	796	105
530	798	103
531	799	102
532	800	100
533	801	99
534	802	97
535	804	96
536	805	94
537	806	92
538	807	91
539	809	89
540	810	88
541	811	86
542	812	85
543	813	83
544	815	82
545	816	80
546	817	79
547	818	77
548	819	76
549	820	74
550	822	73
551	823	71
552	824	70
553	825	68
554	826	67
555	827	65
556	829	64
557	830	62
558	831	60
559	832	59
560	833	57
561	835	56
562	836	54
563	837	53
564	838	51
565	839	50
566	841	48
567	842	47
568	843	45
569	844	44
570	846	42
571	847	41
572	848	39
573	849	38
574	850	36
575	852	35
576	853	34
577	854	32
578	855	31
579	856	29
580	857	28
581	859	26
582	860	25
583	861	23
584	862	22
585	863	20
586	864	19
587	866	17
588	867	16
589	868	14
590	869	13
591	870	11
592	872	10
593	873	8
594	874	7
595	875	5
596	876	4
597	877	2
598	879	1
599	880	0
